image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.838677,car,car,True
drive_022,2,1,0.872778,car,car,True
drive_022,3,4,0.81344,car,car,True
drive_022,4,5,0.863309,truck,bus,False
drive_022,5,2,0.91446,bus,van,False
drive_033,1,1,0.99224,bus,van,False
drive_033,2,2,0.871738,truck,bus,False
drive_033,3,3,0.881848,car,car,True
drive_033,4,4,0.817074,car,car,True
drive_033,5,11,0.872258,car,car,True
drive_033,6,12,0.979223,bus,van,False
drive_033,7,8,0.924345,car,car,True
drive_033,8,10,0.811306,car,car,True
drive_033,9,6,0.835225,car,car,True
drive_033,12,7,0.876017,car,car,True
drive_033,13,5,0.908705,car,car,True
drive_033,19,9,0.894868,car,car,True
drive_038,1,4,0.910865,car,car,True
drive_038,2,3,0.945835,car,car,True
drive_038,3,2,0.936593,car,car,True
drive_038,4,1,0.960483,car,car,True
drive_038,5,5,0.925061,car,bus,False
drive_038,6,17,0.934809,car,car,True
drive_038,7,16,0.858213,car,car,True
drive_038,8,15,0.92173,van,truck,False
drive_038,9,9,0.918079,truck,bus,False
drive_038,10,14,0.862376,car,car,True
drive_038,11,13,0.889961,car,car,True
drive_038,12,10,0.898054,car,car,True
drive_038,13,8,0.955459,car,car,True
drive_038,14,7,0.913642,car,car,True
drive_038,15,11,0.892978,car,car,True
drive_038,16,6,0.852966,car,car,True
drive_038,17,12,0.819571,car,car,True
drive_008,2,16,0.946908,car,car,True
drive_008,3,11,0.947446,car,car,True
drive_008,4,12,0.863783,van,truck,False
drive_008,5,4,0.884133,car,car,True
drive_008,6,6,0.904049,car,car,True
drive_008,7,3,0.929928,van,truck,False
drive_008,10,9,0.985271,bus,van,False
drive_008,11,7,0.822037,car,car,True
drive_008,12,13,0.705433,car,car,True
drive_008,13,14,0.902011,car,car,True
drive_008,24,15,0.380839,car,car,True
drive_008,26,2,0.884785,car,car,True
drive_008,27,5,0.847618,van,truck,False
drive_008,28,1,0.808739,truck,bus,False
